text,sentiment
I am coming for you right now,threat
i am coming for you,threat
You make no sense 🙂,negative
I am very angry right now,negative
Something bad will happen to you right now,threat
Keep shining and stay strong 🙂,positive
You cannot escape 😡,threat
This is garbage and I mean it,negative
You better watch your back and I mean it,threat
You cannot escape!!!,threat
You are so stupid and I mean it,negative
I hate this and I mean it,negative
This is wonderful news,positive
You make no sense right now,negative
I will hurt you!!!,threat
amazing effort by the team,positive
Keep shining and stay strong and I mean it,positive
This is your last warning and I mean it,threat
You cannot escape!!!,threat
This is terrible!!!,negative
Great job everyone and I mean it,positive
Pathetic attempt 🙂,negative
"Seriously, i will make you pay",threat
"Seriously, you make no sense",negative
"Seriously, such a beautiful message",positive
Keep shining and stay strong 😡,positive
I will make you pay!!!,threat
Such a dumb idea right now,negative
I love this platform 😡,positive
I love this platform and I mean it,positive
"Seriously, you are doing great work",positive
I will make you pay 😡,threat
"Seriously, such a beautiful message",positive
This is the worst thing ever 😡,negative
great job everyone,positive
Great job everyone 🙂,positive
"Seriously, you better watch your back",threat
I will make you pay,threat
Such a dumb idea 😡,negative
this is the worst thing ever,negative
I will find you,threat
"Seriously, such a beautiful message",positive
"Seriously, this is wonderful news",positive
This is terrible right now,negative
This is the worst thing ever 😡,negative
I will make you pay,threat
I will make you pay 🙂,threat
I appreciate your kindness and I mean it,positive
This is terrible and I mean it,negative
"Seriously, you will regret this",threat
This is your last warning!!!,threat
"Seriously, i am coming for you",threat
"Seriously, pathetic attempt",negative
You will regret this 😡,threat
Great job everyone 😡,positive
Keep shining and stay strong 🙂,positive
So proud of this achievement right now,positive
You inspire many people!!!,positive
Such a beautiful message and I mean it,positive
I will hurt you right now,threat
You inspire many people right now,positive
"Seriously, pathetic attempt",negative
i will find you,threat
I will destroy everything and I mean it,threat
I love this platform,positive
Something bad will happen to you 🙂,threat
"Seriously, this is the worst thing ever",negative
Something bad will happen to you right now,threat
Such a beautiful message!!!,positive
Something bad will happen to you right now,threat
I appreciate your kindness!!!,positive
great job everyone,positive
Absolutely useless work 😡,negative
This is garbage 🙂,negative
This is the worst thing ever and I mean it,negative
I love this platform and I mean it,positive
"Seriously, absolutely useless work",negative
I will find you!!!,threat
something bad will happen to you,threat
i love this platform,positive
I will make you pay!!!,threat
I will destroy everything right now,threat
I am very angry right now,negative
I appreciate your kindness 🙂,positive
I will hurt you right now,threat
I love this platform right now,positive
I will hurt you!!!,threat
i will destroy everything,threat
I am coming for you!!!,threat
Such a beautiful message!!!,positive
"Seriously, i am very angry right now",negative
This is garbage and I mean it,negative
This is wonderful news right now,positive
Absolutely useless work,negative
"Seriously, such a dumb idea",negative
you will regret this,threat
"Seriously, so proud of this achievement",positive
I hate this right now,negative
Absolutely useless work right now,negative
Such a dumb idea right now,negative
"Seriously, this is your last warning",threat
Absolutely useless work 😡,negative
I will make you pay,threat
i will make you pay,threat
You will regret this right now,threat
I appreciate your kindness and I mean it,positive
this is garbage,negative
"Seriously, amazing effort by the team",positive
I appreciate your kindness 🙂,positive
This is your last warning 🙂,threat
Amazing effort by the team!!!,positive
i will make you pay,threat
"Seriously, such a dumb idea",negative
You are doing great work,positive
Pathetic attempt right now,negative
Absolutely useless work right now,negative
"Seriously, something bad will happen to you",threat
Such a beautiful message,positive
"Seriously, i appreciate your kindness",positive
Such a beautiful message 😡,positive
I appreciate your kindness,positive
You make no sense 😡,negative
This is terrible,negative
"Seriously, this is garbage",negative
I appreciate your kindness 🙂,positive
Great job everyone and I mean it,positive
You will regret this 😡,threat
this is garbage,negative
You will regret this,threat
Pathetic attempt!!!,negative
You inspire many people 🙂,positive
You cannot escape right now,threat
you will regret this,threat
Pathetic attempt,negative
"Seriously, such a dumb idea",negative
I hate this right now,negative
I will find you 😡,threat
I appreciate your kindness 🙂,positive
You will regret this,threat
"Seriously, i will make you pay",threat
You better watch your back and I mean it,threat
"Seriously, this is wonderful news",positive
You cannot escape!!!,threat
You are doing great work,positive
So proud of this achievement right now,positive
You make no sense right now,negative
Keep shining and stay strong and I mean it,positive
keep shining and stay strong,positive
this is wonderful news,positive
This is garbage right now,negative
So proud of this achievement!!!,positive
You inspire many people and I mean it,positive
This is your last warning and I mean it,threat
You will regret this 😡,threat
i am very angry right now,negative
"Seriously, keep shining and stay strong",positive
You are doing great work 🙂,positive
So proud of this achievement 😡,positive
I am very angry right now 🙂,negative
Such a beautiful message!!!,positive
You better watch your back,threat
